Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,47.6875,45.1875,47.625,45.9375,334100.0,32.73534393310547
2000-01-04,46.0,44.5625,45.75,44.625,216500.0,31.800050735473633
2000-01-05,45.25,44.375,44.375,45.25,277100.0,32.245426177978516
2000-01-06,45.125,44.75,45.0,45.0625,206300.0,32.11181640625
2000-01-07,45.75,41.25,42.5,44.375,1686300.0,31.621902465820312
2000-01-10,46.3125,43.5625,44.625,46.3125,562100.0,33.00257110595703
2000-01-11,48.875,45.625,46.0625,48.5,942300.0,34.56139373779297
2000-01-12,50.75,48.4375,48.4375,50.125,1412800.0,35.719390869140625
2000-01-13,52.0,50.25,50.5,52.0,892200.0,37.055519104003906
2000-01-14,56.25,52.75,52.75,55.625,1107900.0,39.638702392578125
2000-01-18,55.6875,53.625,55.625,54.625,582300.0,38.92610549926758
2000-01-19,54.875,53.6875,53.875,54.875,305500.0,39.10426330566406
2000-01-20,55.25,53.875,55.0,54.625,534900.0,38.92610549926758
2000-01-21,54.25,53.375,53.375,54.0625,537000.0,38.52526092529297
2000-01-24,54.5,54.0,54.0625,54.1875,890100.0,38.61433410644531
2000-01-25,54.25,49.5,54.1875,51.4375,796300.0,36.65467071533203
2000-01-26,51.375,49.875,50.4375,50.375,617500.0,35.89752197265625
2000-01-27,52.0,49.25,50.4375,50.25,426300.0,35.80845260620117
2000-01-28,50.0625,48.125,50.0,48.125,374800.0,34.29417419433594
2000-01-31,49.4375,47.0625,48.25,47.9375,595600.0,34.16054916381836
2000-02-01,48.0,46.625,48.0,46.9375,541300.0,33.44794464111328
2000-02-02,47.8125,47.0,47.0,47.4375,479100.0,33.804256439208984
2000-02-03,48.875,45.875,47.0,47.5,695900.0,33.96332550048828
2000-02-04,48.3125,47.0,47.375,48.0,301400.0,34.320858001708984
2000-02-07,48.25,47.625,47.75,48.0,204400.0,34.320858001708984
2000-02-08,48.25,47.8125,48.0,48.0,318100.0,34.320858001708984
2000-02-09,49.0,47.625,48.375,48.75,664300.0,34.85713195800781
2000-02-10,50.125,48.4375,48.625,50.125,683400.0,35.84027862548828
2000-02-11,51.6875,48.875,50.0,51.5625,628700.0,36.86810302734375
2000-02-14,53.0625,51.375,51.625,52.8125,718000.0,37.76187515258789
2000-02-15,52.8125,50.75,52.8125,51.0,433700.0,36.465904235839844
2000-02-16,51.0,49.6875,51.0,50.5625,490900.0,36.1530876159668
2000-02-17,50.625,49.8125,50.625,49.9375,371500.0,35.706207275390625
2000-02-18,49.5,47.0,49.25,47.625,260000.0,34.05272674560547
2000-02-22,47.75,45.5,47.75,46.75,345300.0,33.42707824707031
2000-02-23,47.5,46.0,47.0,47.125,217500.0,33.69519805908203
2000-02-24,46.625,45.0625,46.5,45.75,340800.0,32.71205520629883
2000-02-25,45.6875,42.25,45.6875,43.3125,646100.0,30.969205856323242
2000-02-28,43.8125,41.75,43.4375,43.5,510800.0,31.103269577026367
2000-02-29,44.0625,42.625,43.625,42.8125,453700.0,30.611698150634766
2000-03-01,42.375,40.8125,42.375,42.0,422500.0,30.030744552612305
2000-03-02,41.75,39.6875,41.75,39.6875,376000.0,28.377267837524414
2000-03-03,41.25,39.4375,39.6875,40.5625,429900.0,29.002910614013672
2000-03-06,41.0,39.8125,41.0,40.4375,479300.0,28.913536071777344
