,0
0,MMM
1,ABT
2,ABBV
3,ABMD
4,ACN
5,ATVI
6,ADBE
7,AMD
8,AAP
9,AES
10,AMG
11,AFL
12,A
13,APD
14,AKAM
15,ALK
16,ALB
17,ARE
18,ALXN
19,ALGN
20,ALLE
21,AGN
22,ADS
23,LNT
24,ALL
25,GOOGL
26,GOOG
27,MO
28,AMZN
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,APC
42,ADI
43,ANSS
44,ANTM
45,AON
46,AOS
47,APA
48,AIV
49,AAPL
50,AMAT
51,APTV
52,ADM
53,ARNC
54,ANET
55,AJG
56,AIZ
57,ATO
58,T
59,ADSK
60,ADP
61,AZO
62,AVB
63,AVY
64,BHGE
65,BLL
66,BAC
67,BK
68,BAX
69,BBT
70,BDX
71,BRK-B
72,BBY
73,BIIB
74,BLK
75,HRB
76,BA
77,BKNG
78,BWA
79,BXP
80,BSX
81,BMY
82,AVGO
83,BR
84,BF-B
85,CHRW
86,COG
87,CDNS
88,CPB
89,COF
90,CPRI
91,CAH
92,KMX
93,CCL
94,CAT
95,CBOE
96,CBRE
97,CBS
98,CE
99,CELG
100,CNC
101,CNP
102,CTL
103,CERN
104,CF
105,SCHW
106,CHTR
107,CVX
108,CMG
109,CB
110,CHD
111,CI
112,XEC
113,CINF
114,CTAS
115,CSCO
116,C
117,CFG
118,CTXS
119,CLX
120,CME
121,CMS
122,KO
123,CTSH
124,CL
125,CMCSA
126,CMA
127,CAG
128,CXO
129,COP
130,ED
131,STZ
132,COO
133,CPRT
134,GLW
135,COST
136,COTY
137,CCI
138,CSX
139,CMI
140,CVS
141,DHI
142,DHR
143,DRI
144,DVA
145,DE
146,DAL
147,XRAY
148,DVN
149,FANG
150,DLR
151,DFS
152,DISCA
153,DISCK
154,DISH
155,DG
156,DLTR
157,D
158,DOV
159,DOW
160,DWDP
161,DTE
162,DRE
163,DUK
164,DXC
165,ETFC
166,EMN
167,ETN
168,EBAY
169,ECL
170,EIX
171,EW
172,EA
173,EMR
174,ETR
175,EOG
176,EFX
177,EQIX
178,EQR
179,ESS
180,EL
181,EVRG
182,ES
183,RE
184,EXC
185,EXPE
186,EXPD
187,EXR
188,XOM
189,FFIV
190,FB
191,FAST
192,FRT
193,FDX
194,FIS
195,FITB
196,FE
197,FRC
198,FISV
199,FLT
200,FLIR
201,FLS
202,FLR
203,FMC
204,FL
205,F
206,FTNT
207,FTV
208,FBHS
209,FOXA
210,FOX
211,BEN
212,FCX
213,GPS
214,GRMN
215,IT
216,GD
217,GE
218,GIS
219,GM
220,GPC
221,GILD
222,GPN
223,GS
224,GWW
225,HAL
226,HBI
227,HOG
228,HRS
229,HIG
230,HAS
231,HCA
232,HCP
233,HP
234,HSIC
235,HSY
236,HES
237,HPE
238,HLT
239,HFC
240,HOLX
241,HD
242,HON
243,HRL
244,HST
245,HPQ
246,HUM
247,HBAN
248,HII
249,IDXX
250,INFO
251,ITW
252,ILMN
253,IR
254,INTC
255,ICE
256,IBM
257,INCY
258,IP
259,IPG
260,IFF
261,INTU
262,ISRG
263,IVZ
264,IPGP
265,IQV
266,IRM
267,JKHY
268,JEC
269,JBHT
270,JEF
271,SJM
272,JNJ
273,JCI
274,JPM
275,JNPR
276,KSU
277,K
278,KEY
279,KEYS
280,KMB
281,KIM
282,KMI
283,KLAC
284,KSS
285,KHC
286,KR
287,LB
288,LLL
289,LH
290,LRCX
291,LW
292,LEG
293,LEN
294,LLY
295,LNC
296,LIN
297,LKQ
298,LMT
299,L
300,LOW
301,LYB
302,MTB
303,MAC
304,M
305,MRO
306,MPC
307,MAR
308,MMC
309,MLM
310,MAS
311,MA
312,MAT
313,MKC
314,MXIM
315,MCD
316,MCK
317,MDT
318,MRK
319,MET
320,MTD
321,MGM
322,MCHP
323,MU
324,MSFT
325,MAA
326,MHK
327,TAP
328,MDLZ
329,MNST
330,MCO
331,MS
332,MOS
333,MSI
334,MSCI
335,MYL
336,NDAQ
337,NOV
