,0
0,3M Company
1,Abbott Laboratories
2,AbbVie Inc-
3,ABIOMED Inc
4,Accenture plc
5,Activision Blizzard
6,Adobe Systems Inc
7,Advanced Micro Devices Inc
8,Advance Auto Parts
9,AES Corp
10,Affiliated Managers Group Inc
11,AFLAC Inc
12,Agilent Technologies Inc
13,Air Products & Chemicals Inc
14,Akamai Technologies Inc
15,Alaska Air Group Inc
16,Albemarle Corp
17,Alexandria Real Estate Equities
18,Alexion Pharmaceuticals
19,Align Technology
20,Allegion
21,"Allergan, Plc"
22,Alliance Data Systems
23,Alliant Energy Corp
24,Allstate Corp
25,Alphabet Inc Class A
26,Alphabet Inc Class C
27,Altria Group Inc
28,Amazon-com Inc-
29,Ameren Corp
30,American Airlines Group
31,American Electric Power
32,American Express Co
33,American International Group
34,American Tower Corp-
35,American Water Works Company Inc
36,Ameriprise Financial
37,AmerisourceBergen Corp
38,AMETEK Inc-
39,Amgen Inc-
40,Amphenol Corp
41,Anadarko Petroleum Corp
42,"Analog Devices, Inc-"
43,ANSYS
44,Anthem Inc-
45,Aon plc
46,A-O- Smith Corp
47,Apache Corporation
48,Apartment Investment & Management 
49,Apple Inc-
50,Applied Materials Inc-
51,Aptiv Plc
52,Archer-Daniels-Midland Co
53,Arconic Inc-
54,Arista Networks
55,Arthur J- Gallagher & Co-
56,Assurant
57,Atmos Energy Corp
58,AT&T Inc-
59,Autodesk Inc-
60,Automatic Data Processing
61,AutoZone Inc
62,"AvalonBay Communities, Inc-"
63,Avery Dennison Corp
64,"Baker Hughes, a GE Company"
65,Ball Corp
66,Bank of America Corp
67,The Bank of New York Mellon Corp-
68,Baxter International Inc-
69,BB&T Corporation
70,Becton Dickinson
71,Berkshire Hathaway
72,Best Buy Co- Inc-
73,Biogen Inc-
74,BlackRock
75,Block H&R
76,Boeing Company
77,Booking Holdings Inc
78,BorgWarner
79,Boston Properties
80,Boston Scientific
81,Brighthouse Financial Inc
82,Bristol-Myers Squibb
83,Broadcom
84,Broadridge Financial Solutions
85,Brown-Forman Corp-
86,C- H- Robinson Worldwide
87,Cabot Oil & Gas
88,Cadence Design Systems
89,Campbell Soup
90,Capital One Financial
91,Capri Holdings
92,Cardinal Health Inc-
93,Carmax Inc
94,Carnival Corp-
95,Caterpillar Inc-
96,Cboe Global Markets
97,CBRE Group
98,CBS Corp-
99,Celanese Corp-
100,Celgene Corp-
101,Centene Corporation
102,CenterPoint Energy
103,CenturyLink Inc
104,Cerner
105,CF Industries Holdings Inc
106,Charles Schwab Corporation
107,Charter Communications
108,Chevron Corp-
109,Chipotle Mexican Grill
110,Chubb Limited
111,Church & Dwight
112,CIGNA Corp-
113,Cimarex Energy
114,Cincinnati Financial
115,Cintas Corporation
116,Cisco Systems
117,Citigroup Inc-
118,Citizens Financial Group
119,Citrix Systems
120,The Clorox Company
121,CME Group Inc-
122,CMS Energy
123,Coca-Cola Company
124,Cognizant Technology Solutions
125,Colgate-Palmolive
126,Comcast Corp-
127,Comerica Inc-
128,Conagra Brands
129,Concho Resources
130,ConocoPhillips
131,Consolidated Edison
132,Constellation Brands
133,The Cooper Companies
134,Copart Inc
135,Corning Inc-
136,Costco Wholesale Corp-
137,"Coty, Inc"
138,Crown Castle International Corp-
139,CSX Corp-
140,Cummins Inc-
141,CVS Health
142,D- R- Horton
143,Danaher Corp-
144,Darden Restaurants
145,DaVita Inc-
146,Deere & Co-
147,Delta Air Lines Inc-
148,Dentsply Sirona
149,Devon Energy
150,Diamondback Energy
151,Digital Realty Trust Inc
152,Discover Financial Services
153,Discovery Inc- Class A
154,Discovery Inc- Class C
155,Dish Network
156,Dollar General
157,Dollar Tree
158,Dominion Energy
159,Dover Corp-
160,DowDuPont
161,DTE Energy Co-
162,Duke Realty Corp
163,Duke Energy
164,DXC Technology
165,E*Trade
166,Eastman Chemical
167,Eaton Corporation
168,eBay Inc-
169,Ecolab Inc-
170,Edison Int'l
171,Edwards Lifesciences
172,Electronic Arts
173,Emerson Electric Company
174,Entergy Corp-
175,EOG Resources
176,Equifax Inc-
177,Equinix
178,Equity Residential
179,"Essex Property Trust, Inc-"
180,Estee Lauder Cos-
181,Evergy
182,Eversource Energy
183,Everest Re Group Ltd-
184,Exelon Corp-
185,Expedia Group
186,Expeditors
187,Extra Space Storage
188,Exxon Mobil Corp-
189,F5 Networks
190,"Facebook, Inc-"
191,Fastenal Co
192,Federal Realty Investment Trust
193,FedEx Corporation
194,Fidelity National Information Services
195,Fifth Third Bancorp
196,FirstEnergy Corp
197,First Republic Bank
198,Fiserv Inc
199,FleetCor Technologies Inc
200,FLIR Systems
201,Flowserve Corporation
202,Fluor Corp-
203,FMC Corporation
204,Foot Locker Inc
205,Ford Motor
206,Fortinet
207,Fortive Corp
208,Fortune Brands Home & Security
209,Franklin Resources
210,Freeport-McMoRan Inc-
211,Gap Inc-
212,Garmin Ltd-
213,Gartner Inc
214,General Dynamics
215,General Electric
216,General Mills
217,General Motors
218,Genuine Parts
219,Gilead Sciences
220,Global Payments Inc-
221,Goldman Sachs Group
222,Grainger (W-W-) Inc-
223,Halliburton Co-
224,Hanesbrands Inc
225,Harley-Davidson
226,Harris Corporation
227,Hartford Financial Svc-Gp-
228,Hasbro Inc-
229,HCA Holdings
230,HCP Inc-
231,Helmerich & Payne
232,Henry Schein
233,The Hershey Company
234,Hess Corporation
235,Hewlett Packard Enterprise
236,Hilton Worldwide Holdings Inc
237,HollyFrontier Corp
238,Hologic
239,Home Depot
240,Honeywell Int'l Inc-
241,Hormel Foods Corp-
242,Host Hotels & Resorts
243,HP Inc-
244,Humana Inc-
245,Huntington Bancshares
246,Huntington Ingalls Industries
247,IDEXX Laboratories
248,IHS Markit Ltd-
249,Illinois Tool Works
250,Illumina Inc
251,Ingersoll-Rand PLC
252,Intel Corp-
253,Intercontinental Exchange
254,International Business Machines
255,Incyte
256,International Paper
257,Interpublic Group
258,Intl Flavors & Fragrances
259,Intuit Inc- 
260,Intuitive Surgical Inc-
261,Invesco Ltd-
262,IPG Photonics Corp-
263,IQVIA Holdings Inc-
264,Iron Mountain Incorporated
265,Jack Henry & Associates Inc
266,Jacobs Engineering Group
267,J- B- Hunt Transport Services
268,Jefferies Financial Group
269,JM Smucker
270,Johnson & Johnson
271,Johnson Controls International
272,JPMorgan Chase & Co-
273,Juniper Networks
274,Kansas City Southern
275,Kellogg Co-
276,KeyCorp
277,Keysight Technologies
278,Kimberly-Clark
279,Kimco Realty
280,Kinder Morgan
281,KLA-Tencor Corp-
282,Kohl's Corp-
283,Kraft Heinz Co
284,Kroger Co-
285,L Brands Inc-
286,L-3 Communications Holdings
287,Laboratory Corp- of America Holding
288,Lam Research
289,Lamb Weston Holdings Inc
290,Leggett & Platt
291,Lennar Corp-
292,Lilly (Eli) & Co-
293,Lincoln National
294,Linde plc
295,LKQ Corporation
296,Lockheed Martin Corp-
297,Loews Corp-
298,Lowe's Cos-
299,LyondellBasell
300,M&T Bank Corp-
301,Macerich
302,Macy's Inc-
303,Marathon Oil Corp-
304,Marathon Petroleum
305,Marriott Int'l-
306,Marsh & McLennan
307,Martin Marietta Materials
308,Masco Corp-
309,Mastercard Inc-
310,Mattel Inc-
311,McCormick & Co-
312,Maxim Integrated Products Inc
313,McDonald's Corp-
314,McKesson Corp-
315,Medtronic plc
316,Merck & Co-
317,MetLife Inc-
318,Mettler Toledo
319,MGM Resorts International
320,Microchip Technology
321,Micron Technology
322,Microsoft Corp-
323,Mid-America Apartments
324,Mohawk Industries
325,Molson Coors Brewing Company
326,Mondelez International
327,Monster Beverage
328,Moody's Corp
329,Morgan Stanley
330,The Mosaic Company
331,Motorola Solutions Inc-
332,MSCI Inc
333,Mylan N-V-
334,"Nasdaq, Inc-"
335,National Oilwell Varco Inc-
336,Nektar Therapeutics
337,NetApp
338,Netflix Inc-
339,Newell Brands
340,Newmont Mining Corporation
341,News Corp- Class A
342,News Corp- Class B
343,NextEra Energy
344,Nielsen Holdings
345,Nike
346,NiSource Inc-
347,Noble Energy Inc
348,Nordstrom
349,Norfolk Southern Corp-
350,Northern Trust Corp-
351,Northrop Grumman Corp-
352,Norwegian Cruise Line
353,NRG Energy
354,Nucor Corp-
355,Nvidia Corporation
356,O'Reilly Automotive
357,Occidental Petroleum
358,Omnicom Group
359,ONEOK
360,Oracle Corp-
361,PACCAR Inc-
362,Packaging Corporation of America
363,Parker-Hannifin
364,Paychex Inc-
365,PayPal
366,Pentair plc
367,People's United Financial
368,PepsiCo Inc-
369,PerkinElmer
370,Perrigo
371,Pfizer Inc-
372,Philip Morris International
373,Phillips 66
374,Pinnacle West Capital
375,Pioneer Natural Resources
376,PNC Financial Services
377,Polo Ralph Lauren Corp-
378,PPG Industries
379,PPL Corp-
380,Principal Financial Group
381,Procter & Gamble
382,Progressive Corp-
383,Prologis
384,Prudential Financial
385,Public Serv- Enterprise Inc-
386,Public Storage
387,Pulte Homes Inc-
388,PVH Corp-
389,Qorvo
390,Quanta Services Inc-
391,QUALCOMM Inc-
392,Quest Diagnostics
393,Raymond James Financial Inc-
394,Raytheon Co-
395,Realty Income Corporation
396,Red Hat Inc-
397,Regency Centers Corporation
398,Regeneron
399,Regions Financial Corp-
400,Republic Services Inc
401,ResMed
402,Robert Half International
403,Rockwell Automation Inc-
404,Rollins Inc-
405,Roper Technologies
406,Ross Stores
407,Royal Caribbean Cruises Ltd
408,Salesforce-com
409,SBA Communications
410,Schlumberger Ltd-
411,Seagate Technology
412,Sealed Air
413,Sempra Energy
414,Sherwin-Williams
415,Simon Property Group Inc
416,Skyworks Solutions
417,SL Green Realty
418,Snap-on
419,Southern Co-
420,Southwest Airlines
421,"S&P Global, Inc-"
422,Stanley Black & Decker
423,Starbucks Corp-
424,State Street Corp-
425,Stryker Corp-
426,SunTrust Banks
427,SVB Financial
428,Symantec Corp-
429,Synchrony Financial
430,Synopsys Inc-
431,Sysco Corp-
432,T- Rowe Price Group
433,Take-Two Interactive
434,"Tapestry, Inc-"
435,Target Corp-
436,TE Connectivity Ltd-
437,TechnipFMC
438,Teleflex Inc
439,Texas Instruments
440,Textron Inc-
441,Thermo Fisher Scientific
442,Tiffany & Co-
443,"Twitter, Inc-"
444,TJX Companies Inc-
445,Torchmark Corp-
446,Total System Services
447,Tractor Supply Company
448,TransDigm Group
449,The Travelers Companies Inc-
450,TripAdvisor
451,Twenty-First Century Fox Class A
452,Twenty-First Century Fox Class B
453,Tyson Foods
454,UDR Inc
455,Ulta Beauty
456,U-S- Bancorp
457,Under Armour Class A
458,Under Armour Class C
459,Union Pacific
460,United Continental Holdings
461,United Health Group Inc-
462,United Parcel Service
463,"United Rentals, Inc-"
464,United Technologies
465,"Universal Health Services, Inc-"
466,Unum Group
467,V-F- Corp-
468,Valero Energy
469,Varian Medical Systems
470,Ventas Inc
471,Verisign Inc-
472,Verisk Analytics
473,Verizon Communications
474,Vertex Pharmaceuticals Inc
475,Viacom Inc-
476,Visa Inc-
477,Vornado Realty Trust
478,Vulcan Materials
479,Wabtec Corporation
480,Walmart
481,Walgreens Boots Alliance
482,The Walt Disney Company
483,Waste Management Inc-
484,Waters Corporation
485,Wec Energy Group Inc
486,WellCare
487,Wells Fargo
488,Welltower Inc-
489,Western Digital
490,Western Union Co
491,WestRock
492,Weyerhaeuser
493,Whirlpool Corp-
494,Williams Cos-
495,Willis Towers Watson
496,Wynn Resorts Ltd
497,Xcel Energy Inc
498,Xerox
499,Xilinx
500,Xylem Inc-
501,Yum! Brands Inc
502,Zimmer Biomet Holdings
503,Zions Bancorp
504,Zoetis
